objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
wlc001,wlc001.pdf,,,"Diamond Nat. Res. Prot. & Conservation Ass’n. v. Diamond Valley Ranch, LLC, 138 Nev. Adv. Rep. 43",,2022-06-16,acre feet;wells,prior appropriation;beneficial use;appropriation;priority rights;vested rights;over-appropriated;groundwater management plan;NRS 534.110;NRS 534.110;critical water shortages;wells,"Diamond Valley, NV",39.7596,-115.97339,138 Nev. Adv. Rep. 43,,Case Law,application/pdf,,,
wlc002,wlc002.pdf,,,"Wilson v. Pahrump Fair Water, LLC, 137 Nev. Adv. Rep. 2",,2021-02-25,"The district court's order, which invalidated a Order No. 1293A issued by the State Engineer, was reversed, and the case was remanded because Nev. Rev. Stat. § 534.110(8) authorized the 2.0 acre-feet annually from an alternate source requirement under the particular circumstances, the State Engineer's critical requisite determination was that the drilling of any new domestic wells in the Pahrump Artesian Basin would threaten the supply of water to existing wells, that assessment was supported by substantial evidence, and the State Engineer was not required to hold a hearing or develop a more robust record; the State Engineer was not required to provide notice and a hearing regarding the 2.0 acre-feet annually from an alternate source requirement under the particular circumstances.",domestic wells;wells;prior appropriation;critical management area;alternate source;active management area;NRS 534.180;NRS 534.080;riparian,"Pahrump, NV",36.20749812,-115.9911882,137 Nev. Adv. Rep 2,,Case Law,application/pdf,,,
wlc003,wlc003.pdf,,,"Mineral Cty v. Lyon Cty., 136 Nev. Adv. Rep. 58",,2020-09-17,"The public trust doctrine, as implemented through Nevada's comprehensive water statutes, did not permit the reallocation of water rights already adjudicated and settled under the doctrine of prior appropriation; [2]-The public trust doctrine applied in Nevada to all waters within the state, including those previously allocated under prior appropriation; [3]-Nevada's statutory water scheme is consistent with the public trust doctrine by requiring the State Engineer to consider the public interest when allocating and administering water rights.",public trust;lakes;reallocation;public interest;navigable;beneficial use;public use;vested rights;NRS 533.430;NRS 533.265;NRS 533.090;NRS 533.035;NRS 533.030;NRS 533.325;NRS 533.370;abandoned;forfeited water rights;NRS 534.120;NRS 533.0245;NRS 533.210;taking,"Mineral County, NV",38.688254,-118.693706,136 Nev. Adv. Rep 58,,Case Law,application/pdf,,,
wlc101,wlc101.pdf,,,"Wilson v. Happy Creek, Inc., 135 Nev. 301",,2019-09-12,"The district court did not err in granting equitable relief from the new priority date that Nev. Rev. Stat. § 533.395(3) mandated the Nevada State Engineer to assign after the water rights permit holder missed the deadline for filing proofs of beneficial use; the solution offered by the State Engineer's strict reading of § 533.395 fell short under the circumstances, and restoration of the original priority dates better promoted the state's interests in efficiency, sustainability, fairness, and clarity.",irrigation;beneficial use;appropriation;over-appropriated;NRS 533.395;NRS 533.380;NRS 533.410,"Humboldt County, NV",41.49896736,-118.3634154,135 Nev. 301,,Case Law,application/pdf,,,
wlc100,wlc100.pdf,,,Sierra Pac. Indus. v. Wilson; 135 Nev. 105,,2019-05-02,"Because the anti-speculation doctrine applied to requests for extensions of time to put water to beneficial use under Nev. Rev. Stat. § 533.380 (2013), an applicant seeking an extension of time on an existing permit without intending to use the water for its own benefit was required to show an agency or contractual relationship with the party that would put the water to beneficial use, in addition to specifying the intended beneficial use of the appropriation; [2]-A holder of water rights permits to transmit water to a specified location for municipal use failed to show reasonable diligence under Nev. Rev. Stat. § 533.395(1) because it claimed only a generic option contract, which was too speculative, in stating it had entered into option agreements with unidentified engineering and construction firms while negotiating with a public utility company outside the permit area.",beneficial use;appropriation;NRS 533.380;NRS 533.395;NRS 533.025;NRS 533.370,"Lemmon Valley, NV",39.63895747,-119.8439295,135 Nev. 105,,Case Law,application/pdf,,,
wlc006,wlc006.pdf,,,"Eureka Cty. v. Seventh Judicial Dist. Court of Nev., 134 Nev. 275",,2018-05-17,Notice had to be given to junior water rights holders before a show cause hearing in a writ proceeding by a senior water rights holder asking the state engineer to curtail junior water rights because constitutional due process required that the junior water rights holders were entitled to be present for the trial court's consideration of the curtailment request; [2]-The court issued a writ of mandamus directing the trial court to enter an order requiring that notice be provided to all junior water rights holders in the area prior to any show cause hearing being conducted because due process required notice to be given to the junior water rights holders.,appropriation;NRS 534.110,"Eureka County, NV",39.99062099,-116.2228344,134 Nev. 275,,Case Law,application/pdf,,,
wlc007,wlc007.pdf,,,"King v. St. Clair, 134 Nev. 137",,2018-03-29,"A state engineer's finding of abandonment pursuant to Nev. Rev. Stat. § 534.090(4) (2011) was unsupported by substantial evidence because an extended period of nonuse of water did not in itself establish clear and convincing evidence that a property owner intended to abandon a water right connected to the property, and there was no additional evidence indicating an intent to abandon; [2]-The district court did not violate Nev. R. Civ. P. 52 by adopting in full an order drafted by the property owner because the fact that the district court found the state engineer's objections to specific language within that order unpersuasive did not mean that the district court neglected its duty to make factual findings, and it was common practice for district courts to direct the prevailing party to draft the order.",abandoned;nonuse;underground;NRS 534.100;NRS 534.090,"Humboldt County, NV",41.23540991,-118.1525314,134 Nev. 137,,Case Law,application/pdf,,,
wlc008,wlc009.pdf,,,"State Eng'r v. Eureka Cty, 133 Nev. 557",,2017-09-27,"The district court acted consistently with the prior appeal when it granted a previously-denied petition for judicial review in a water law matter and vacated an applicant's permits because the State Engineer relied on insufficient facts before granting the applicant's applications, the Supreme Court of Nevada gave no order to remand to the State Engineer, and the applicant was not entitled to a do-over after failing to provide substantial mitigation evidence.",NRS 533.370,"Eureka County, NV",40.19443229,-116.376643,133 Nev. 557,,Case Law,application/pdf,,,
wlc009,wlc010.pdf,,,"Jackson v. Groenendyke, 132 Nev. 296",,2016-04-07,"Because respondent's supplemental exception, in which he asked the district court to order that he be allowed access to the pipeline located on appellant's property, arose from the same dispute adjudicated by the Nevada State Engineer in its final order of determination, the district court had jurisdiction to consider respondent's supplemental exception; appellant was not prejudiced by the district court's consideration of respondent's motion for access in his supplement, and the requirements of Nev. R. Civ. P. 15(c) were satisfied; [2]-The district court did not err in agreeing with the State Engineer that the set of properties had a vested water right.",vested rights;NRS 533.160;NRS 533.170,"Douglas County, NV",38.98042934,-119.6792206,132 Nev. 296,,Case Law,application/pdf,,,
wlc010,wlc011.pdf,,,"Eureka Cnty v. State Eng'r of Nev., 131 Nev. 846",,2015-10-29,"Substantial evidence did not support the Nevada State Water Engineer's finding that the applicant would be able to adequately and fully mitigate the fact that its groundwater appropriations would cause the spring that sources existing rights to cease to flow; [2]-The State Engineer's decision to grant the applications, when the result of the appropriations would conflict with existing rights, and based upon unsupported findings that mitigation would be sufficient to rectify the conflict, violated the legislature's directive in Nev. Rev. Stat. § 533.370(2) that the State Engineer must deny use or change applications when the use or change would conflict with existing rights.",appropriation;groundwater;water table;NRS 533.370;NRS 533.365,"Eureka County, NV",40.19443229,-116.376643,131 Nev 846,,Case Law,application/pdf,,,
